Gene,anopheles darlingi,anopheles gambiae,culex quinquefasciatus,lucilla cuprina,musca,anopheles darlingi,,,,anopheles gambiae,,,,culex quinquefasciatus,,,,lucilla cuprina,,,,musca,,,,simulans,,,,yakuba,,,,pseudo,,,,ananassae,,,,grimshawi,,,,willistoni,,,,virilis,,,,mojavensis,,,,sechellia,,,,Meip 26,,,,all but E and F,only E and F,all but B and E,all but E,all but c,all but D and E,all but D ,only B and F,only F,all but F,all but C and D,only B and E,all but B and D
CG2807,,,,,,85.14,83.81,0,yes,85.15,83.88,0,yes,85.8,85.22,0,yes,93.55,91.94,25,yes,92.79,91.19,25,yes,98.52,99.63,100,yes,99.1,99.1,100,yes,96.72,96.72,100,yes,96.93,96.72,100,yes,95.57,95.07,100,yes,92.8,94.33,50,yes,95.28,94.85,100,yes,95.35,94.78,100,yes,99.78,99.78,100,yes,,,,,,,,,,,,,,,,,
CG7420,x,x,x,x,x,38.3,32.47,0,yes,37.57,33.51,0,yes,35.51,32.22,0,no,54.76,53.35,0,no,55.03,53.61,25,yes,92.06,89.69,100,yes,89.68,87.37,100,yes,78.1,76.29,100,yes,82.41,80.93,50,yes,71.65,71.65,75,yes,78.01,76.8,75,yes,72.61,72.42,25,no,74.03,73.45,75,yes,91.01,88.66,100,yes,,,,,,,,,,,,,,,,,
CG3605,x,x,x,x,x,,,,,,,,,,,,,68.18,72.36,50,yes,67.08,72.36,75,yes,98.66,98.66,100,yes,94.79,94.79,100,yes,84.17,85.18,100,yes,88.12,88.12,75,yes,80.69,81.44,50,yes,78.98,82.78,50,yes,83.02,82.91,50,yes,81.66,81.44,75,yes,98.48,95.19,100,yes,,,,,,,,,,,,,,,,,
CG17259,x,x,x,x,x,79.72,80.04,0,yes,81.71,82.04,25,yes,,,,,85.57,85.23,50,yes,86.8,86.63,50,yes,99.8,99.8,100,yes,99.8,99.8,100,yes,96.21,96.21,100,yes,94.41,94.41,100,yes,90.87,91.42,100,yes,92.63,92.81,100,yes,93.21,93.21,100,yes,92.81,92.81,100,yes,99.4,99.4,100,yes,,,,,,,,,,,,,,,,,
CG9140,x,x,x,x,x,82.21,84.81,0,yes,83.2,85.65,0,yes,85.23,85.23,25,yes,92.31,81.01,50,yes,91.98,91.98,75,yes,99.58,99.58,100,yes,99.37,99.37,100,yes,95.39,95.99,100,yes,95.18,95.78,100,yes,93.7,94.09,100,yes,96.44,97.26,100,yes,95.38,95.78,100,yes,94.54,94.94,100,yes,90.11,82.7,100,yes,,,,,,,,,,,,,,,,,
CG9548,x,x,x,x,,97.25,95.5,0,no,97.25,95.5,0,no,97.27,96.4,0,yes,97.3,97.3,25,yes,,,,,100,100,100,yes,100,100,75,yes,99.1,99.1,100,yes,99.1,99.1,75,yes,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,75,yes,100,100,100,yes,,,all but F,,,,,,,,,,,,,,
CG11266,x,x,x,x,x,60.5,57.24,0,yes,58.32,58.42,0,yes,65.84,58.08,0,yes,48.8,64.81,0,no,63.48,62.63,0,no,82.29,82.15,100,yes,88.81,88.22,100,yes,72.04,75.93,75,yes,80.81,80.81,75,yes,66.56,70.37,25,no,69.28,71.38,75,yes,65.94,66.5,25,no,67.26,69.87,25,no,86.91,87.21,100,yes,,,,,,,,,,,,,,,,,
Mnn1,x,x,x,x,x,49.45,47.44,0,yes,51.63,47.84,0,yes,56.72,48.1,0,yes,63.2,62.12,0,no,60.34,60.81,0,no,96.33,96.33,100,yes,90.67,90.43,100,yes,78.27,80.73,50,yes,83.62,83.62,50,yes,71.75,70.9,50,yes,69.96,72.35,50,yes,74.16,72.21,25,no,72.27,70.38,50,yes,98.17,98.17,100,yes,,,,,,,,,,,,,,,,,
Pvr,x,x,x,x,x,55.3,18.52,0,no,36.72,33.23,0,yes,52.75,12.18,0,no,42.11,47.56,0,no,48.3,48.76,0,no,97.09,97.46,100,yes,93.13,93.66,100,yes,64.95,67.91,100,yes,68.25,68.29,50,yes,56.97,58.59,50,yes,66.04,62.65,50,yes,60.61,62.84,50,yes,59.93,62.21,50,yes,94.37,90.3,100,yes,,,,,,,,,,,,,,,,,
CG13096,x,x,x,,x,23.36,18.8,0,no,24.09,18.5,0,no,23.74,16.59,0,no,,,,,39.21,36.27,0,no,87.12,87.37,100,yes,70.66,73.57,100,yes,50.94,59.47,50,yes,49.65,41.85,75,yes,47.24,45.23,75,yes,40.39,42.29,75,yes,48.69,40.97,50,yes,44.21,45.96,75,yes,87.39,87.52,100,yes,,,all but E,,,,,,,,,,,,,,
CG12264,x,x,x,,,76.4,73.59,0,no,75.78,73.16,0,no,69.86,52.16,0,no,80.52,80.52,25,yes,79.61,79.44,25,yes,98.25,97.4,100,yes,98.27,98.27,100,yes,87.53,88.1,25,no,90.79,89.61,50,yes,86.43,85.5,50,yes,84.38,84.2,50,yes,83.73,84.63,50,yes,86.3,85.93,50,yes,98.03,97.19,100,yes,,,all but E and F,,,,,,,,,,,,,,
bsf,x,x,x,x,x,49.06,49.79,0,no,48.58,49.72,0,no,52.51,51.84,0,no,67.65,67.99,50,yes,64.86,65.23,0,no,96.03,96.03,100,yes,96.03,96.03,100,yes,83.19,83.07,50,yes,87.68,87.68,100,yes,79.89,79.6,75,yes,83.73,83.85,75,yes,79.05,79.11,75,yes,80.65,80.31,75,yes,96.03,96.03,100,yes,,,,,,,,,,,,,,,,,
CG10333,x,x,x,x,x,75.64,75.55,0,no,75.76,76.03,0,no,75.09,74.45,0,no,77.93,80.78,25,yes,76.23,75.67,25,yes,99.15,99.15,100,yes,95.86,95.74,100,yes,79.48,82,75,yes,88.03,87.71,100,yes,77.89,81.87,100,yes,80.26,81.14,50,yes,81.56,82.85,100,yes,80.76,82.24,75,yes,99.03,99.03,100,yes,,,,,,,,,,,,,,,,,
Nedd8,x,x,x,,x,92.59,89.29,0,yes,94.94,89.29,0,yes,96.15,89.29,0,yes,,,,,97.44,90.48,0,no,100,100,100,yes,97.62,97.62,100,yes,96.25,91.67,75,yes,95.06,91.67,50,yes,93.83,90.48,75,yes,96.15,89.29,75,yes,93.98,91.86,75,yes,92.77,91.67,75,yes,98.81,98.81,100,yes,,,all but E,,,,,,,,,,,,,,
Tango6,x,x,x,x,x,24.92,23.89,0,no,26.32,25.41,0,yes,24.59,24.54,0,no,33.51,34.85,75,yes,30.17,31.38,0,no,93.59,93.59,100,yes,86.54,86.54,100,yes,58.54,68.08,100,yes,72.61,72.53,100,yes,50.97,51.36,100,yes,52.55,52.66,50,yes,54.46,54.4,100,yes,53.74,53.85,100,yes,93.7,93.7,100,yes,,,,,,,,,,,,,,,,,
CG12050,x,x,x,x,x,29.16,17.83,0,no,26.94,28.2,0,yes,28.82,28.2,25,yes,40.47,42.02,25,yes,39.6,40.34,50,yes,97.39,97.39,75,yes,88.81,88.89,100,yes,69.51,69.19,100,yes,74.86,75.63,100,yes,62.01,62.18,100,yes,62.77,62.65,100,yes,62.31,62.37,100,yes,60.22,60.22,100,yes,96.54,96.36,100,yes,,,,,,,,,,,,,,,,,
CG9253,x,x,x,,,71.84,69.43,0,no,68.84,68.84,25,no,81.74,70.61,25,no,79.37,79.68,50,yes,79.69,80.47,50,yes,91.91,94.08,100,yes,84.29,86.78,100,yes,84.17,86,100,yes,82.67,85.6,50,yes,81.85,83.63,100,yes,85.8,85.8,25,no,77.84,82.45,100,yes,78.64,82.05,50,yes,91.71,93.89,100,yes,,,all but E and F,,,,,,,,,,,,,,
Tif-IA,x,x,x,x,x,40.16,40.43,0,yes,40.89,40.43,0,yes,36.98,36.5,0,yes,46.83,48.28,50,yes,47.09,48.94,50,yes,96.91,97.55,100,yes,89.27,89.85,25,no,67.49,67.27,50,yes,68.75,68.41,0,no,62.88,63.5,50,yes,66.99,68.74,50,yes,63.37,63.99,50,yes,63.21,63.83,50,yes,96.75,97.38,25,no,,,,,,,,,,,,,,,,,
CG9410,x,x,x,x,x,51.42,45.04,0,no,54.41,45.87,0,no,57.14,44.63,0,no,64.53,54.13,75,yes,59.02,50,75,yes,92.86,85.95,100,yes,90.19,79.75,100,yes,76.33,65.29,100,yes,65.16,65.7,100,yes,73.42,67.36,50,yes,68.81,61.98,100,yes,71.16,63.22,100,yes,68.52,61.16,100,yes,83.57,71.49,100,yes,,,,,,,,,,,,,,,,,
CG1603,,,,,,4.83,9.73,0,no,,,,,16.99,7.51,0,no,,,,,,,,,,,,,,,,,,,,,,,,,5.86,10.24,0,no,,,,,,,,,6.35,11.09,0,no,96.23,95.73,100,yes,,,,,,,,,,,,,,,,,
U2A,x,x,x,x,x,60.31,59.62,0,no,60.08,56.23,0,no,63.9,58.11,0,no,72.08,72.08,50,yes,71.04,69.43,50,yes,98.49,98.49,100,yes,97.74,97.74,100,yes,89.02,88.68,100,yes,90.67,91.7,100,yes,86.74,86.42,100,yes,84.47,84.15,50,yes,88.17,87.17,100,yes,89.31,88.3,100,yes,98.11,98.11,100,yes,,,,,,,,,,,,,,,,,
CG8728,x,x,x,x,x,60.95,60.07,0,yes,62.18,60.61,50,yes,50.89,51.26,0,yes,75.72,75.18,75,yes,72.66,72.66,50,yes,98.56,98.56,100,yes,97.84,97.84,100,yes,82.52,82.37,100,yes,91.53,91.37,100,yes,86.31,86.15,100,yes,83.01,83.45,100,yes,,,,,85.02,84.71,50,yes,98.56,98.56,100,yes,,,,,,,,,,,,,,,,,
Nup44A,x,x,x,x,x,61.84,62.71,25,yes,62.12,62.99,25,yes,61.92,60.17,0,yes,82.63,83.33,75,yes,82.35,83.05,25,yes,99.44,99.44,100,yes,98.02,98.02,100,yes,93.5,93.5,100,yes,95.48,95.48,100,yes,92.26,90.96,100,yes,92.13,92.66,100,yes,91.81,91.81,100,yes,90.73,91.24,100,yes,99.15,99.15,100,yes,,,,,,,,,,,,,,,,,
FANCI,x,x,x,x,x,26.28,33.15,0,yes,33.33,32.61,0,yes,36.74,21.13,0,no,50.32,52.67,0,no,49.77,51.05,0,no,94.79,95.75,100,yes,89.42,90.14,100,yes,,,,,68.14,72.65,100,yes,60.82,57.33,0,no,64.27,63.4,0,no,63.68,60.03,0,no,63.32,59.55,0,no,94.8,86.16,100,yes,,,,,,,,,,,,,,,,,
RpLP0-like,x,x,x,x,x,,,,,,,,,,,,,78.71,80.86,0,no,,,,,99.61,99.61,100,yes,94.49,93.75,100,yes,86.9,85.55,100,yes,87.21,87.89,75,yes,81.78,78.91,25,no,84.8,82.81,50,yes,81.85,82.81,50,yes,81.47,82.42,50,yes,,,,,,,,,,,,,,,,,,,,,
CG8632,x,x,,x,x,,,,,,,,,,,,,,,,,78.71,80.86,0,no,99.61,99.61,100,yes,94.49,93.75,100,yes,86.9,85.55,100,yes,87.21,87.89,75,yes,81.78,78.91,25,no,84.8,82.81,50,yes,81.85,82.81,50,yes,81.47,82.42,50,yes,,,,,,,all but D,,,,,,,,,,,,,,
mip120,x,x,x,,x,19.07,16.39,0,no,23.37,18.49,0,no,19.11,11.76,0,no,,,,,21.82,24.68,50,no,93.47,93.28,100,yes,86.84,86.66,100,yes,50.72,52.1,100,yes,52.33,50.63,100,yes,,,,,45.86,44.85,50,yes,39.61,40.86,0,no,39.43,40.55,25,no,92.52,92.23,75,yes,,,all but E,,,,,,,,,,,,,,
Tango7,x,x,x,x,x,75.06,74.68,0,no,74.55,74.16,0,no,75.39,75.19,0,no,91.73,91.73,25,yes,89.69,89.92,25,yes,100,100,100,yes,98.71,98.71,100,yes,95.35,95.35,50,yes,96.12,96.12,100,yes,94.83,94.83,25,no,95.09,95.09,50,yes,95.61,95.61,25,no,96.38,96.38,0,no,100,100,100,yes,,,,,,,,,,,,,,,,,
CG8435,x,x,x,x,x,55.88,62.76,0,yes,60.81,63.36,0,yes,56.99,62.46,0,yes,67.68,66.67,0,no,67.77,67.57,25,yes,96.1,96.1,100,yes,83.43,84.68,75,yes,73.35,70.27,100,yes,,,,,75.45,74.77,100,yes,69.14,69.97,75,yes,78.1,73.87,100,yes,65.9,69.07,100,yes,96.4,96.4,75,yes,,,,,,,,,,,,,,,,,
unc-104,x,,x,x,x,47.18,53.5,n/a,no,47.95,53.81,n/a,no,47.09,51.6,n/a,no,50.45,52.03,n/a,no,50.62,52.58,n/a,no,49.03,52.83,n/a,no ,48.97,52.76,n/a,no,48.76,52.95,n/a,no,49.65,52.95,n/a,no,48.98,53.07,n/a,no,49.17,52.7,n/a,no,50.21,51.97,n/a,no,48.73,52.83,n/a,no,50.78,52.09,n/a,no,,,all but C ,,,,,,,,,,,,,,
APC10,x,x,x,x,x,69.19,65.64,0,yes,70.81,67.18,0,yes,70.27,66.67,0,yes,78.79,80,0,no,83.07,80.51,25,yes,100,100,100,yes,99.49,99.49,75,yes,94.36,94.36,100,yes,95.9,95.9,100,yes,89.34,90.26,100,yes,88.83,89.74,100,yes,91.37,92.31,75,yes,89.34,90.26,75,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
MESR4,x,x,x,x,x,15.27,16.4,0,no,18.8,28.37,25,no,10.99,6.08,0,no,26.33,36.62,0,no,26.2,37.63,0,no,91.76,91.29,100,yes,85.55,85.08,100,yes,42.53,48.92,100,yes,53.54,55.09,50,yes,43.72,41.23,75,yes,47.88,46.8,50,yes,41.19,44.45,50,yes,40.92,45.05,75,yes,90.16,84.02,100,yes,,,,,,,,,,,,,,,,,
OstDelta,x,x,x,x,x,49.76,50,0,yes,50,50.47,0,yes,52.06,51.73,0,yes,34.27,97.97,25,yes,65.33,66.88,50,yes,98.42,98.27,100,yes,97,97,100,yes,84.46,84.86,100,yes,89.27,89.27,100,yes,77.43,77.92,100,hyes,77.47,79.18,100,yes,79.75,80.13,100,yes,78.81,79.18,100,yes,99.05,99.05,100,yes,,,,,,,,,,,,,,,,,
CG11180,,x,x,x,x,,,,,23.27,19.97,0,no,28.48,19.15,0,no,29.84,29.06,25,yes,35.1,28.24,0,no,89.64,89.39,100,yes,56.09,59.64,100,yes,47.02,39.12,100,yes,45.15,39.12,100,yes,37.39,30.44,100,yes,42.25,35.67,100,yes,40.83,33.75,100,yes,34.97,30.44,100,yes,90.33,90.08,100,yes,,,all but B,,,,,,,,,,,,,,
Rtf1,x,x,x,x,x,54.38,47.23,0,no,46.88,54.19,0,no,51.91,54.32,0,no,60.41,56.9,0,no,61.9,58.06,0,no,97.94,97.94,100,yes,93.17,93.29,100,yes,80.1,78.97,75,yes,83.74,84.39,75,yes,71.98,73.94,50,yes,70.4,75.48,100,yes,75.96,76.26,50,yes,75.16,75.35,50,yes,96.52,96.52,100,yes,,,,,,,,,,,,,,,,,
CG3803,x,x,x,,x,54.27,59.8,0,no,53.56,59.29,0,no,56.76,10.69,0,no,,,,,57.63,60.56,0,no,98.47,98.22,100,yes,97.46,97.46,100,yes,84.99,84.99,50,yes,93.64,93.64,100,yes,74.5,75.83,50,yes,78.57,78.37,75,yes,74.94,75.32,50,yes,74.56,75.32,75,yes,97.96,97.96,100,yes,,,all but E,,,,,,,,,,,,,,
MEP-1,x,x,x,,x,30.05,41.06,25,yes,31.17,41.67,25,yes,,,,,,,,,55.05,53.91,75,yes,95.49,95.66,100,yes,95.22,95.05,100,yes,69.36,72.92,100,yes,74.85,76.48,100,yes,59.63,67.19,100,yes,63.55,63.72,100,yes,62.39,68.4,100,yes,61.11,66.84,100,yes,95.32,95.49,50,yes,,,all but E ,,,,,,,,,,,,,,
CG11526,x,x,x,x,x,56.7,56.63,0,yes,57.91,56.09,0,yes,62.44,57.39,0,yes,79.96,77.02,50,yes,78.52,75.73,50,yes,92.83,93.64,75,yes,97.73,92.99,75,yes,83.1,83.28,100,yes,88.06,88.35,100,yes,80.88,83.06,75,yes,83.68,81.88,75,yes,80.87,82.09,75,yes,81.66,82.74,50,yes,92.73,93.53,100,yes,,,,,,,,,,,,,,,,,
CG10673,x,x,x,,x,50.42,53.57,0,yes,47.93,51.79,0,yes,50.43,52.23,0,yes,,,,,73.48,75.45,75,yes,97.77,97.77,100,yes,91.52,91.52,100,yes,70.98,70.98,100,yes,86.16,86.16,100,yes,80.62,81.7,100,yes,79.37,79.02,25,no,81.5,82.59,100,yes,83.04,83.04,100,yes,96.43,96.43,100,yes,,,all but E,,,,,,,,,,,,,,
CG13298,x,x,x,x,x,80.95,84.3,0,no,80.95,84.3,0,no,80.95,84.3,0,no,95.04,95.04,0,no,92.56,92.56,0,no,100,100,100,yes,100,100,100,yes,100,100,50,yes,100,100,100,yes,97.52,97.52,50,yes,99.17,99.17,100,yes,97.52,97.52,50,yes,96.69,96.69,75,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
velo,x,x,x,x,x,,,,,,,,,22.95,14.35,0,no,36.2,24.11,0,no,,,,,95.64,95.8,100,yes,93.78,93.78,100,yes,,,,,,,,,,,,,58.52,15.93,100,no,,,,,,,,,94.32,32.62,100,yes,,,,,,,,,,,,,,,,,
Mis12,,x,x,,x,,,,,,,,,,,,,,,,,,,,,96.11,95.58,100,yes,86.41,87.85,100,yes,40.68,39.78,0,no,40.91,44.75,0,no,40.78,40.33,0,no,44.2,44.2,0,no,44.69,44.2,0,no,42.46,41.99,0,no,95.56,95.03,100,yes,,,all but B and E,,,,,,,,,,,,,,
CG8005,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,96.11,95.58,100,yes,86.41,87.85,100,yes,40.68,39.78,0,no,40.91,44.75,0,no,40.78,40.33,0,no,44.2,44.2,0,no,44.69,44.2,0,no,42.46,41.99,0,no,95.56,95.03,100,yes,,,all but D,,,,,,,,,,,,,,
CG7185,x,x,x,x,x,52.66,54.6,0,yes,,57.06,0,yes,55.92,54.29,25,yes,70.12,73.77,50,yes,69.94,74.23,50,yes,99.85,99.85,100,yes,99.08,99.08,100,yes,95.07,94.63,50,yes,95.08,94.79,50,yes,87.03,88.5,50,yes,92.6,94.02,50,yes,88.69,88.96,50,yes,88.53,88.8,50,yes,99.69,99.69,100,yes,,,,,,,,,,,,,,,,,
CG7839,x,x,x,x,x,38.71,34.16,0,yes,35.58,31.94,0,yes,39.05,32.79,0,yes,58.02,49.32,0,no,57.48,49.4,50,yes,97.27,97.19,100,yes,94.36,94.12,100,yes,68.74,64.82,0,no,66.9,65.93,50,yes,65.99,60.48,50,yes,63.77,63.12,25,no,67.47,61.67,50,yes,62.57,62.95,50,yes,96.25,96.08,100,yes,,,,,,,,,,,,,,,,,
CG11660,x,x,x,x,x,46.52,46.84,50,yes,50.99,48.38,50,yes,54.3,45.3,75,yes,67.33,69.4,50,yes,69.26,71.62,25,yes,94.53,94.53,100,yes,96.23,96.07,100,yes,80.28,78.63,100,yes,82.85,82.56,100,yes,79.97,78.46,100,yes,69.19,74.87,0,no,78.16,78.29,50,yes,80.45,79.49,100,yes,95.73,95.9,100,yes,,,,,,,,,,,,,,,,,
Pop2,x,x,x,x,x,59.18,59.93,0,yes,63.41,62.88,0,yes,63.16,63.16,0,yes,78.71,67.59,25,yes,79.68,68.42,50,yes,96.95,96.95,100,yes,86.53,71.19,100,yes,68.1,74.52,25,no,84.62,70.08,50,yes,76.85,68.98,25,no,75.3,68.42,50,yes,76.85,68.98,25,no,84.95,70.36,25,no,,,,,,,,,,,,,,,,,,,,,
CG10426,x,x,x,x,x,43.81,48.33,25,yes,43.06,488.19,25,yes,46.12,41.37,25,yes,65.01,69.88,100,yes,65.47,70.55,0,no,98.93,98.93,100,yes,98.8,98.8,100,yes,84.97,87.01,100,yes,92.09,91.97,100,yes,78.59,80.59,75,yes,84.13,84.47,75,yes,79.02,81.66,100,yes,79.58,81.39,100,yes,,,,,,,,,,,,,,,,,,,,,
CG10418,x,x,,x,x,94.74,94.74,0,no,95.79,95.79,25,no,,,,,96.81,96.81,100,yes,95.74,94.74,50,yes,100,100,100,yes,100,100,100,yes,98.95,98.95,50,yes,98.95,98.95,100,yes,100,100,100,yes,100,100,100,yes,100,100,100,yes,98.95,98.95,100,yes,100,100,100,yes,,,all but D,,,,,,,,,,,,,,
Best4,,,x,,,36.12,48.48,0,yes,37.61,49.05,0,yes,30.39,38.59,0,yes,20.03,48.29,25,no,40.36,46.96,0,no,99.24,99.24,100,yes,94.3,94.3,100,yes,64.79,63.31,0,no,65.56,67.3,75,yes,61.99,60.46,0,no,60.15,60.27,0,no,59.25,59.7,0,no,59.41,57.6,0,no,99.05,99.05,100,yes,,,only D ,,,,,,,,,,,,,,
CG5589,x,x,x,x,x,44.46,43.27,0,yes,43.81,44.11,0,yes,47.55,45.79,0,yes,55.31,57.91,0,no,57.5,58.75,0,no,94.24,93.6,100,yes,89.56,89.56,100,yes,73.87,74.24,50,yes,78.63,77.44,75,yes,68.21,69.36,50,yes,73.35,69.02,0,no,68.43,69.7,50,yes,69.58,69.7,50,yes,93.92,93.6,100,yes,,,,,,,,,,,,,,,,,
CG9451,x,x,x,x,x,37.68,38.05,0,yes,38.12,37.56,0,yes,41.92,37.32,0,yes,,,,,52.85,49.76,25,yes,95.86,96.1,50,yes,92.2,92.2,25,no,64.65,65.12,25,no,70.34,70,50,yes,61.21,59.27,75,yes,58.94,59.51,25,no,62.75,61.22,100,yes,58.52,56.1,100,yes,95.38,95.61,100,yes,,,,,,,,,,,,,,,,,
Lon,x,x,x,x,x,64.81,61.52,0,no,64.57,61.04,0,no,74.03,54.3,0,no,68.29,67.29,50,yes,64.51,64.26,50,yes,98.53,98.34,100,yes,90.38,30.27,0,no,72.24,73.44,100,yes,81.89,80.37,100,yes,74.73,74.8,100,yes,76.4,76.17,100,yes,76.94,77.54,100,yes,76.58,76.95,100,yes,90.64,88.87,100,yes,,,,,,,,,,,,,,,,,
Prp3,x,x,x,x,x,51.59,62.54,0,no,64.85,59.53,0,no,55.9,62.54,0,no,68.61,76.76,25,yes,65.44,74.08,75,yes,99.16,99.16,100,yes,97.17,97.49,75,yes,88.87,89.46,75,yes,89.15,87.96,75,yes,79.01,83.11,100,yes,82.1,83.61,75,yes,83.75,84.45,75,yes,83.55,84.95,75,yes,98.66,98.66,100,yes,,,,,,,,,,,,,,,,,
Spc105R,,,,x,x,,,,,,,,,,,,,,,,,,,,,89.41,89.13,100,yes,73.6,75.97,75,yes,38.63,36.33,0,no,39.95,38.83,50,yes,29.66,28.11,0,no,24.5,26.12,0,no,28.34,30.2,0,no,27.51,28.98,0,no,89.5,87.81,100,yes,,,only E and F,,,,,,,,,,,,,,
barc,,x,x,,x,40.62,23.38,0,no,39.4,47.12,25,yes,37.85,22.12,0,no,,,,,45.09,57.01,50,yes,93.32,92.99,100,yes,88.81,88.49,100,yes,60.9,65.83,100,yes,72.34,73.38,100,yes,80.58,29.86,25,no,,,,,61.97,65.65,0,no,,,,,,,,,,,all but B and E,,,,,,,,,,,,,,
Cdk12,x,x,x,x,x,34.43,42.7,0,yes,33.85,43.47,0,yes,48.85,35,50,yes,,,,,,,,,97.93,97.93,100,yes,93.76,93.52,100,yes,75.57,76.75,100,yes,79.37,77.79,100,yes,62.18,66.64,25,no,65.21,65.95,100,yes,64.48,67.16,25,no,63.8,67.33,25,no,97.93,97.93,100,yes,,,,,,,,,,,,,,,,,
aux,x,x,x,x,x,45.43,51.24,0,yes,47.63,52.62,0,yes,48.16,49.36,0,yes,58.26,62.66,25,yes,57.2,62.4,25,yes,93.28,94.08,100,yes,84.79,85.15,100,yes,75.42,77.17,100,yes,75.36,77.42,100,yes,71.5,74.08,75,yes,75.15,75.79,100,yes,72.11,75.02,100,yes,72.35,75.71,100,yes,93.53,94.33,100,yes,,,,,,,,,,,,,,,,,
Nopp140,,,,,,,,,,,,,,,,,,,,,,,,,,82.05,75.68,100,yes,77.1,72.32,100,yes,58.22,54.98,100,yes,66.03,58.09,100,yes,,,,,55.72,52.91,0,no,,,,,51.7,47.09,100,yes,86.17,83.05,100,yes,,,,,,,,,,,,,,,,,
Zif,,,,x,x,,,,,,,,,,,,,35.41,42.53,0,no,30.24,39.43,0,no,95.88,95.88,100,yes,94.33,94.33,100,yes,67.33,69.59,100,yes,79.58,78.35,100,yes,,,,,64.89,69.07,50,yes,66.74,73.97,50,yes,66.59,73.45,50,yes,95.1,95.1,100,yes,,,only E and F,,,,,,,,,,,,,,
CG1234,,x,x,x,x,,,,,40.65,36.74,0,no,21.8,11.19,0,no,71.48,72.26,75,yes,69.63,71.41,50,yes,98.18,98.3,100,yes,96.72,96.72,100,yes,81.36,81.75,100,yes,85.21,85.52,100,yes,80.22,80.9,100,yes,79.27,79.56,75,yes,82.79,83.09,100,yes,80.31,80.9,100,yes,98.18,98.3,100,yes,,,all but B,,,,,,,,,,,,,,
CG9667,x,x,x,,x,63.74,63.97,0,yes,75.93,67.28,0,yes,71.01,72.06,0,yes,,,,,81,83.09,0,no,98.16,98.16,100,yes,98.16,98.16,100,yes,94.53,95.22,100,yes,96.34,96.69,50,yes,90.84,91.18,100,yes,82.7,87.87,100,yes,90.88,92.54,100,yes,91.58,91.91,100,yes,97.79,97.79,100,yes,,,all but E,,,,,,,,,,,,,,
eIF4AIII,x,x,x,,x,94.25,93.09,n/a,yes,94.5,93.33,n/a,yes,78.38,42.96,n/a,yes,92.5,91.36,n/a,yes,92.25,91.11,n/a,yes,93.23,91.85,n/a,yes,93.48,92.1,n/a,yes,93.23,91.85,n/a,yes,93.48,92.1,n/a,yes,93.48,92.1,n/a,yes,93.23,91.85,n/a,yes,93.48,92.1,n/a,yes,93.48,92.1,n/a,yes,93.23,91.85,n/a,yes,,,all but E,,,,,,,,,,,,,,
CG8116,x,x,x,x,x,26.28,26.47,0,yes,26.28,26.47,25,yes,,,,,,,,,,,,,99.26,99.26,75,yes,100,100,75,yes,97.06,97.06,75,yes,94.85,94.85,75,yes,97.06,97.06,75,yes,97.06,97.06,50,yes,97.06,97.06,75,yes,97.06,97.06,50,yes,99.26,99.26,75,yes,,,,,,,,,,,,,,,,,
CG9797,,,,x,x,,,,,15.95,13.4,0,no,,,,,,,,,,,,,99.52,99.52,100,yes,97.13,97.13,100,yes,72.29,74.88,100,yes,77.67,79.9,100,yes,55.66,58.85,100,yes,63.18,66.51,50,yes,59.4,61.96,100,yes,57.34,59.81,100,yes,96.75,35.65,100,yes,,,only E and F,,,,,,,,,,,,,,
RnpS1,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,98.67,98.93,100,yes,95.73,95.99,100,yes,80.69,81.55,50,yes,82.98,83.42,50,yes,73.71,76.47,50,yes,78.57,79.41,25,no,76.64,78.07,50,yes,77.37,78.61,50,yes,97.87,98.13,100,yes,,,all but B,,,,,,,,,,,,,,
CG14712,,x,x,x,x,,,,,,,,,,,,,25.6,25.28,0,no,25.77,23.14,0,no,87.83,88.94,100,yes,81.7,84.28,100,yes,42.54,45.02,100,yes,48.78,50.63,75,yes,35.06,37.36,50,yes,38.42,34.6,25,no,40.16,32.7,50,yes,33.38,34.12,25,no,88.16,87.05,100,yes,,,all but B,,,,,,,,,,,,,,
MBD-R2,x,x,x,x,x,30.67,29.17,0,yes,30.08,28.74,25,yes,31.5,30.8,25,yes,44.12,46.88,25,yes,45.05,46.71,25,yes,87.34,87.34,100,yes,86.04,86.48,100,yes,60.39,61.42,75,yes,69.26,70.15,75,yes,56.43,58.17,25,no,60.7,60.65,50,yes,60.98,63.64,25,no,60.54,63.39,25,no,87.7,84.77,100,yes,,,,,,,,,,,,,,,,,
CG15887,x,x,x,x,x,54.69,51.09,0,yes,53.12,49.63,0,yes,36.75,31.39,0,yes,78.46,74.45,100,yes,72.52,69.34,75,yes,99.27,99.27,100,yes,97.81,97.81,100,yes,69.32,89.05,100,yes,93.33,91.97,100,yes,83.21,79.56,100,yes,91.11,89.78,100,yes,89.15,83.94,100,yes,88.28,82.48,100,yes,99.27,99.27,0,no,,,,,,,,,,,,,,,,,
